N,K,Solver,p,seed,restart_id,is_best_restart,experiment_phase,Feasibility Ratio (%),Optimization GAP (%),gap_best_of_restarts,Sharpe Ratio In-Sample,Sharpe Ratio Out-of-Sample,Execution Time (s),objective
6,3,Standard QAOA,3.0,52,0.0,True,N_scaling,97.50126215184586,0.0,0.0,2.4132284916491757,0.7068194973913805,0.339981799988891,-0.1833792164988461
6,3,XY-QAOA,3.0,52,,True,N_scaling,100.0,17.229098588509007,17.229098588509007,1.8697689515094185,0.4855554243895257,0.3138945000100648,-0.15178463049742452
6,3,XY-QAOA Regularized,3.0,52,0.0,True,N_scaling,99.99999999999997,8.205239759746304,8.205239759746304,2.0614928971702775,0.7675336249170006,0.3275193000008585,-0.16833251211557151
6,3,Gurobi,,53,,True,N_scaling,100.0,0.0,0.0,2.232571020143225,0.7145052980780612,0.005092500010505319,-0.17835667796074425
6,3,Simulated Annealing,,53,,True,N_scaling,100.0,0.0,0.0,2.232571020143225,0.7145052980780612,0.014372499994351529,-0.17835667796074425
6,3,Standard QAOA,3.0,53,0.0,True,N_scaling,89.70737115511832,55.20664356456984,55.20664356456984,1.05676101407191,-0.4129950641887671,0.31845749999047257,-0.07989194248534849
6,3,XY-QAOA,3.0,53,,True,N_scaling,100.0,0.0,0.0,2.232571020143225,0.7145052980780612,0.2885970999923302,-0.17835667796074425
6,3,XY-QAOA Regularized,3.0,53,0.0,True,N_scaling,99.99999999999993,11.46701635227609,11.46701635227609,2.459193190994962,0.6029857058256609,0.2964529000018956,-0.1579044885336093
8,4,Gurobi,,42,,True,N_scaling,100.0,0.0,0.0,2.3274106834120216,0.5107783518696317,0.0037767999892821535,-0.16620031287492046
8,4,Simulated Annealing,,42,,True,N_scaling,100.0,0.0,0.0,2.3274106834120216,0.5107783518696317,0.017728399994666688,-0.16620031287492046
8,4,Standard QAOA,3.0,42,0.0,True,N_scaling,77.56336517874428,103.24743841430725,103.24743841430725,0.13360975582299686,-0.7433847846769145,0.3240894000045955,0.005397252804998991
8,4,XY-QAOA,3.0,42,,True,N_scaling,100.0,27.355269231938728,27.355269231938728,1.7643813372340187,-0.26300828712206015,0.3279251000058139,-0.12073576982366144
8,4,XY-QAOA Regularized,3.0,42,0.0,True,N_scaling,99.99999999999997,36.95132173728653,36.95132173728653,1.66233587615199,0.46577920275510676,0.317312099999981,-0.10478710053613176
8,4,Gurobi,,43,,True,N_scaling,100.0,0.0,0.0,2.132797838205313,0.3980989699242999,0.004282699999748729,-0.14817612239347772
8,4,Simulated Annealing,,43,,True,N_scaling,100.0,0.0,0.0,2.132797838205313,0.3980989699242999,0.017780399997718632,-0.14817612239347772
8,4,Standard QAOA,3.0,43,0.0,True,N_scaling,81.21883846939984,0.0,0.0,2.132797838205313,0.3980989699242999,0.32778370000596624,-0.14817612239347772
8,4,XY-QAOA,3.0,43,,True,N_scaling,100.0,7.371743814235438,7.371743814235438,1.5667917957215591,1.4177785750332894,0.3144460000039544,-0.1372529582567626
8,4,XY-QAOA Regularized,3.0,43,0.0,True,N_scaling,99.9999999999999,6.908299725281408,6.908299725281408,1.7915138983890995,0.46910932342716494,0.32856059999903664,-0.13793967173723645
